timestamp,open,high,low,close,volume
2026-01-02 00:00:00,2650.0,2650.1,2649.8,2649.98,1708
2026-01-02 00:05:00,2649.98,2650.82,2649.64,2650.18,265
2026-01-02 00:10:00,2650.18,2650.54,2650.13,2650.29,607
2026-01-02 00:15:00,2650.29,2650.64,2649.51,2650.25,769
2026-01-02 00:20:00,2650.25,2650.59,2650.1,2650.26,896
2026-01-02 00:25:00,2650.26,2650.6,2650.07,2650.25,978
2026-01-02 00:30:00,2650.25,2651.25,2649.76,2650.49,1694
2026-01-02 00:35:00,2650.49,2650.68,2650.3,2650.42,800
2026-01-02 00:40:00,2650.42,2651.63,2650.03,2650.52,1642
2026-01-02 00:45:00,2650.52,2651.36,2650.13,2650.72,1951
2026-01-02 00:50:00,2650.72,2650.99,2650.49,2650.73,947
2026-01-02 00:55:00,2650.73,2651.47,2650.39,2650.81,1599
2026-01-02 01:00:00,2650.81,2650.95,2649.8,2650.69,534
2026-01-02 01:05:00,2650.69,2650.9,2650.24,2650.58,649
2026-01-02 01:10:00,2650.58,2651.26,2650.0,2650.47,265
2026-01-02 01:15:00,2650.47,2650.69,2649.98,2650.53,1361
2026-01-02 01:20:00,2650.53,2651.18,2650.34,2650.63,1516
2026-01-02 01:25:00,2650.63,2650.72,2650.22,2650.52,738
2026-01-02 01:30:00,2650.52,2651.23,2650.28,2650.52,483
2026-01-02 01:35:00,2650.52,2650.58,2650.34,2650.46,1485
2026-01-02 01:40:00,2650.46,2651.42,2650.18,2650.59,1420
2026-01-02 01:45:00,2650.59,2651.1,2650.44,2650.78,223
2026-01-02 01:50:00,2650.78,2651.08,2650.23,2650.75,1774
2026-01-02 01:55:00,2650.75,2650.91,2650.38,2650.71,1678
2026-01-02 02:00:00,2650.71,2651.22,2650.6,2650.8,417
2026-01-02 02:05:00,2650.8,2651.43,2650.54,2650.89,513
2026-01-02 02:10:00,2650.89,2651.2,2650.23,2650.83,201
2026-01-02 02:15:00,2650.83,2650.92,2650.32,2650.69,1903
2026-01-02 02:20:00,2650.69,2651.01,2650.43,2650.73,361
2026-01-02 02:25:00,2650.73,2651.03,2650.42,2650.88,1768
2026-01-02 02:30:00,2650.88,2652.12,2650.74,2651.04,1280
2026-01-02 02:35:00,2651.04,2651.42,2650.77,2651.15,1694
2026-01-02 02:40:00,2651.15,2651.47,2650.05,2651.07,964
2026-01-02 02:45:00,2651.07,2651.15,2650.68,2650.91,892
2026-01-02 02:50:00,2650.91,2651.4,2650.86,2651.1,1649
2026-01-02 02:55:00,2651.1,2651.43,2650.39,2651.03,345
2026-01-02 03:00:00,2651.03,2651.14,2650.67,2650.91,1681
2026-01-02 03:05:00,2650.91,2651.48,2650.62,2651.09,1853
